age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,order_month,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
37.0,4.9,sunny,high,2,snack,motorcycle,0.0,no,urban,24,3,1,15.0,morning,3.0251492856775037,short
34.0,4.5,stormy,jam,2,snack,scooter,1.0,no,metropolitian,33,3,0,5.0,evening,20.183529728733618,very_long
23.0,4.4,sandstorms,low,0,drinks,motorcycle,1.0,no,urban,26,3,1,15.0,morning,1.5527578022548725,short
38.0,4.7,sunny,medium,0,buffet,motorcycle,1.0,no,metropolitian,21,4,0,10.0,evening,7.790401360105752,medium
32.0,4.6,cloudy,high,1,snack,scooter,1.0,no,metropolitian,30,3,1,15.0,afternoon,6.2101379656240985,medium
22.0,4.8,cloudy,jam,0,buffet,motorcycle,1.0,no,urban,26,3,0,10.0,night,4.610365144357058,short
33.0,4.7,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,3,0,15.0,evening,16.600361127912656,very_long
35.0,4.6,cloudy,medium,2,meal,motorcycle,1.0,no,metropolitian,32,3,0,5.0,afternoon,20.20525323529291,very_long
22.0,4.8,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,34,3,1,10.0,evening,19.975520086221444,very_long
36.0,4.2,fog,jam,2,snack,motorcycle,3.0,no,metropolitian,46,2,1,15.0,night,10.280582064621875,long
21.0,4.7,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,2,1,10.0,afternoon,6.242318682701243,medium
23.0,4.7,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,3,0,10.0,afternoon,13.787860239172547,long
34.0,4.3,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,2,1,10.0,morning,2.9302578007621216,short
24.0,4.7,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,2,0,15.0,evening,19.39661829066159,very_long
29.0,4.5,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,4,1,10.0,evening,13.763977224427641,long
35.0,4.0,windy,high,1,meal,scooter,1.0,no,metropolitian,33,3,0,15.0,afternoon,6.21800119018663,medium
33.0,4.2,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,3,0,10.0,evening,16.849939918016492,very_long
34.0,4.9,cloudy,jam,0,snack,motorcycle,,no,metropolitian,41,3,1,10.0,evening,10.757108800258132,long
21.0,4.7,windy,jam,0,meal,motorcycle,1.0,no,urban,15,2,0,15.0,night,4.5405743887312955,short
25.0,4.1,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,3,0,5.0,evening,12.256076445468295,long
31.0,4.7,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,3,0,15.0,night,19.618739348801018,very_long
37.0,5.0,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,20,3,0,15.0,morning,1.5581322655568652,short
33.0,4.3,windy,jam,2,meal,scooter,1.0,no,metropolitian,39,3,1,15.0,evening,20.180635114114715,very_long
25.0,4.0,cloudy,high,1,buffet,motorcycle,1.0,no,metropolitian,34,3,1,5.0,morning,6.116971669682334,medium
29.0,4.5,sunny,medium,2,meal,electric_scooter,1.0,no,metropolitian,15,3,1,15.0,evening,17.07559440107296,very_long
27.0,5.0,stormy,jam,0,snack,motorcycle,0.0,no,urban,18,4,0,5.0,evening,4.470286489434607,short
35.0,4.3,cloudy,low,1,drinks,scooter,0.0,no,metropolitian,38,3,1,10.0,night,13.68204452608078,long
32.0,4.0,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,47,3,0,15.0,night,13.973182653917394,long
23.0,4.8,windy,low,2,buffet,electric_scooter,0.0,no,urban,12,4,1,10.0,night,16.85361872985359,very_long
31.0,4.8,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,26,4,0,15.0,night,4.674172124263269,short
36.0,4.1,stormy,low,0,drinks,motorcycle,1.0,no,urban,22,3,1,5.0,night,7.60161677107109,medium
26.0,4.3,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,21,2,0,10.0,night,7.720324413179964,medium
38.0,4.9,cloudy,high,1,drinks,scooter,1.0,no,urban,25,2,0,5.0,afternoon,6.1756362610169315,medium
32.0,3.5,stormy,jam,1,snack,scooter,0.0,no,urban,35,3,0,10.0,night,,
32.0,4.6,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,30,4,1,10.0,night,19.914686965545187,very_long
33.0,4.9,sunny,medium,1,snack,motorcycle,1.0,no,metropolitian,22,3,0,15.0,evening,10.724517748046026,long
20.0,4.7,windy,high,1,snack,scooter,0.0,no,urban,10,4,1,10.0,afternoon,6.127835452844326,medium
20.0,4.8,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,19,3,0,10.0,morning,1.5203573134022046,short
35.0,5.0,sunny,low,2,snack,scooter,1.0,no,urban,11,4,0,10.0,morning,3.0734537599377685,short
26.0,4.9,stormy,low,2,buffet,scooter,0.0,no,metropolitian,11,3,0,15.0,morning,3.1051314775458967,short
22.0,4.8,fog,low,1,snack,motorcycle,1.0,no,metropolitian,28,3,0,10.0,night,10.86742683448048,long
35.0,4.3,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,33,3,0,5.0,afternoon,10.865464603780389,long
,,cloudy,medium,1,drinks,scooter,1.0,no,metropolitian,33,4,0,,,12.236723616598548,long
37.0,4.7,sandstorms,jam,0,snack,motorcycle,3.0,no,metropolitian,52,4,0,5.0,evening,13.682516298592299,long
28.0,4.6,stormy,jam,1,snack,scooter,1.0,no,metropolitian,22,3,0,15.0,evening,16.826241648658115,very_long
37.0,4.9,fog,low,1,snack,scooter,1.0,no,urban,16,2,1,5.0,morning,3.0272369309754272,short
23.0,4.9,sunny,jam,2,drinks,electric_scooter,0.0,no,metropolitian,11,3,0,5.0,night,9.175193844437826,medium
27.0,4.9,windy,medium,1,drinks,scooter,1.0,no,metropolitian,25,3,1,15.0,evening,9.315069177421892,medium
37.0,4.8,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,26,3,0,10.0,afternoon,6.209021101535612,medium
33.0,5.0,sunny,high,2,snack,scooter,1.0,no,metropolitian,18,3,1,10.0,morning,1.5203447277401048,short
31.0,4.9,fog,medium,1,snack,motorcycle,1.0,no,metropolitian,16,4,1,5.0,afternoon,6.037225392443855,medium
31.0,4.8,stormy,low,2,drinks,scooter,1.0,no,metropolitian,23,3,0,10.0,night,17.078665498349437,very_long
25.0,5.0,cloudy,low,0,snack,motorcycle,0.0,no,metropolitian,15,2,1,15.0,night,,
28.0,4.8,sandstorms,jam,0,drinks,motorcycle,1.0,no,metropolitian,36,4,0,10.0,evening,12.464329297636581,long
31.0,4.7,cloudy,low,2,snack,motorcycle,0.0,no,metropolitian,16,3,1,15.0,night,9.121425981981247,medium
24.0,4.7,sunny,medium,0,buffet,motorcycle,0.0,no,urban,19,3,0,5.0,afternoon,14.02323208308448,long
39.0,4.6,sunny,low,1,snack,motorcycle,1.0,no,metropolitian,27,2,0,15.0,night,13.392612276663236,long
39.0,4.2,fog,jam,2,snack,scooter,1.0,no,semi-urban,49,3,0,15.0,evening,,
32.0,4.5,windy,low,2,buffet,scooter,0.0,no,,20,3,1,15.0,morning,1.4899271643865588,short
36.0,4.7,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,30,3,1,5.0,evening,,
25.0,4.8,sandstorms,low,1,drinks,scooter,0.0,no,urban,18,3,0,10.0,night,11.916582838288104,long
33.0,4.9,sunny,jam,2,drinks,scooter,0.0,no,metropolitian,22,3,0,5.0,night,4.663566689152146,short
30.0,4.4,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,34,3,1,15.0,night,10.641157729337541,long
33.0,5.0,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,24,3,0,5.0,night,16.818368923732613,very_long
36.0,4.9,fog,medium,2,drinks,scooter,1.0,no,metropolitian,17,3,0,15.0,afternoon,6.128551257919138,medium
21.0,4.8,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,14,2,0,10.0,morning,2.996250036665907,short
39.0,4.9,stormy,jam,2,meal,motorcycle,1.0,no,metropolitian,30,2,0,5.0,evening,7.342175722857793,medium
23.0,4.8,stormy,low,1,meal,scooter,1.0,no,metropolitian,15,3,0,10.0,morning,,
35.0,4.8,fog,medium,2,buffet,scooter,1.0,no,urban,16,3,0,10.0,afternoon,,
39.0,4.6,cloudy,jam,1,snack,scooter,1.0,no,metropolitian,36,3,0,5.0,evening,13.972123977178622,long
22.0,4.7,sunny,high,1,buffet,scooter,1.0,no,urban,18,3,0,5.0,morning,6.081440797008078,medium
32.0,4.6,fog,medium,1,meal,scooter,0.0,no,metropolitian,17,3,0,15.0,afternoon,6.080891507842322,medium
24.0,4.8,sandstorms,low,1,buffet,motorcycle,1.0,no,urban,15,3,0,5.0,night,,
29.0,4.7,fog,low,0,buffet,motorcycle,1.0,no,metropolitian,17,3,0,10.0,morning,,
,,,,1,drinks,scooter,0.0,no,metropolitian,19,3,0,,,6.210589610314177,medium
